"Patient","Seq.ID","Time","Distance","Error","Normal.Error"
8,"GQ496737_env_DPI_149",149,0.0053620437622,310.680851390097,1.19492635150037
8,"GQ496725_env_DPI_149",149,0.006117148937,205.802019340263,0.791546228231779
8,"GQ496716_env_DPI_149",149,1.0000005e-06,1055.29236652647,4.05881679433259
9,"AF138701_env_DPI_3100",3100,0.042358118621,7259.02332975779,2.41404167933415
9,"AF138699_env_DPI_3100",3100,0.0569537939835,-1153.63700088889,-0.383650482503787
9,"AF138697_env_DPI_3100",3100,0.0509277704205,2319.64451030725,0.771414868742018
9,"AF138681_env_DPI_1798",1798,0.041713934703,6328.31827555542,2.10452885785015
9,"AF138675_env_DPI_1302",1302,0.0536744639835,-1061.4956599147,-0.353008200836283
9,"AF138678_env_DPI_1302",1302,0.0433647396,4880.82678744586,1.62315490104618
9,"AF138683_env_DPI_1798",1798,0.06308552002,-5989.8433397192,-1.99196652468214
9,"AF138689_env_DPI_1798",1798,0.058048491369,-3086.59905234144,-1.026471251***REMOVED***6
9,"AF138688_env_DPI_1798",1798,0.056072717101,-1947.80160762566,-0.647755772406271
9,"AF138686_env_DPI_1798",1798,0.060569519914,-4539.67034272103,-1.50970081234487
9,"AF138653_env_DPI_93",93,0.0536257563955,-2242.42156377373,-0.745733809036825
9,"AF138654_env_DPI_93",93,0.0515867014275,-1067.15036766489,-0.35488871555201
9,"AF138655_env_DPI_93",93,0.0557081604765,-3442.67833638016,-1.14488804003331
9,"AF138665_env_DPI_93",93,0.047531065222,1270.43860812199,0.422493717366807
9,"AF138659_env_DPI_93",93,0.0557395756265,-3460.78541122408,-1.15090968115201
9,"AF138658_env_DPI_93",93,0.0557574136265,-3471.06688373228,-1.15432886056943
9,"AF138673_env_DPI_899",899,0.051631269817,-286.83871116634,-0.0953903262940937
9,"AF138682_env_DPI_1798",1798,0.075316040353,-13039.2748098758,-4.33630688722174
9,"AF138685_env_DPI_1798",1798,0.07636375718,-13643.1581910381,-4.53713275392021
9,"AF138693_env_DPI_2170",2170,0.084167131051,-17768.8694773846,-5.90916843278505
9,"AF138670_env_DPI_899",899,0.0515998300495,-268.717447279396,-0.0893639665046212
9,"AF138660_env_DPI_93",93,0.0495474862485,108.213170914612,0.0359870871016337
9,"AF138672_env_DPI_899",899,0.0475594872765,2060.05669468056,0.6850870284937
9,"AF138692_env_DPI_2170",2170,0.0370596343965,9382.96546953237,3.12037428318336
9,"AF138696_env_DPI_2170",2170,0.02907368746,13985.9082814802,4.65111682124382
9,"AF138700_env_DPI_3100",3100,0.05633873606,-799.129705709362,-0.265756470139462
